"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"DSL","DoubleLine Income Solutions Fund","15.32","$1.56B","2013","n/a","n/a","https://old.nasdaq.com/symbol/dsl",
"DBL","DoubleLine Opportunistic Credit Fund","19.18","$286.63M","2012","n/a","n/a","https://old.nasdaq.com/symbol/dbl",
"DLY","DoubleLine Yield Opportunities Fund","18.06","n/a","2020","n/a","n/a","https://old.nasdaq.com/symbol/dly",
"PLOW","Douglas Dynamics, Inc.","36.9","$843.44M","2010","Capital Goods","Construction/Ag Equipment/Trucks","https://old.nasdaq.com/symbol/plow",
"DEI","Douglas Emmett, Inc.","32.32","$5.67B","2006","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/dei",
"DOV","Dover Corporation","98.43","$14.17B","n/a","Technology","Industrial Machinery/Components","https://old.nasdaq.com/symbol/dov",
"DVD","Dover Motorsports, Inc.","1.53","$55.71M","1996","Consumer Services","Services-Misc. Amusement & Recreation","https://old.nasdaq.com/symbol/dvd",
"DOW","Dow Inc.","42.25","$31.3B","2019","Basic Industries","Major Chemicals","https://old.nasdaq.com/symbol/dow",
"RDY","Dr. Reddy&#39;s Laboratories Ltd","53.07","$8.8B","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/rdy",
"DRD","DRDGOLD Limited","11.94","$1.02B","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/drd",
"DRQ","Dril-Quip, Inc.","31.73","$1.11B","1997","Energy","Metal Fabrications","https://old.nasdaq.com/symbol/drq",
"DS","Drive Shack Inc.","2.3","$154.26M","n/a","Consumer Services","Restaurants","https://old.nasdaq.com/symbol/ds",
"DS^B","Drive Shack Inc.","16.95","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ds^b",
"DS^C","Drive Shack Inc.","15.21","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ds^c",
"DS^D","Drive Shack Inc.","15.95","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ds^d",
"DTE","DTE Energy Company","107.98","$20.8B","n/a","Public Utilities","Electric Utilities: Central","https://old.nasdaq.com/symbol/dte",
"DTJ","DTE Energy Company","25.38","n/a","2016","Public Utilities","Electric Utilities: Central","https://old.nasdaq.com/symbol/dtj",
"DTP","DTE Energy Company","42.61","n/a","n/a","Public Utilities","Electric Utilities: Central","https://old.nasdaq.com/symbol/dtp",
"DTQ","DTE Energy Company","25.29","n/a","n/a","Public Utilities","Electric Utilities: Central","https://old.nasdaq.com/symbol/dtq",
"DTW","DTE Energy Company","25.96","n/a","2017","Public Utilities","Electric Utilities: Central","https://old.nasdaq.com/symbol/dtw",
"DTY","DTE Energy Company","26.644","n/a","2016","Public Utilities","Electric Utilities: Central","https://old.nasdaq.com/symbol/dty",
"DCO","Ducommun Incorporated","36.85","$429.26M","n/a","Capital Goods","Military/Government/Technical","https://old.nasdaq.com/symbol/dco",
"DSE","Duff & Phelps Select MLP and Midstream Energy Fund","0.635","$16.66M","2014","n/a","n/a","https://old.nasdaq.com/symbol/dse",
"DNP","Duff & Phelps Utilities Income, Inc.","11.3","$3.42B","1987","n/a","n/a","https://old.nasdaq.com/symbol/dnp",
"DTF","Duff & Phelps Utilities Tax-Free Income, Inc.","14.15","$120.57M","1991","n/a","n/a","https://old.nasdaq.com/symbol/dtf",
"DUC","Duff & Phelps Utility & Corporate Bond Trust, Inc.","9.28","$255.15M","1993","n/a","n/a","https://old.nasdaq.com/symbol/duc",
"DPG","Duff & Phelps Utility and Infrastructure Fund Inc.","11.33","$429.74M","2011","n/a","n/a","https://old.nasdaq.com/symbol/dpg",
"DUK","Duke Energy Corporation","86.95","$63.9B","n/a","Public Utilities","Power Generation","https://old.nasdaq.com/symbol/duk",
"DUK^A","Duke Energy Corporation","27.17","n/a","n/a","Public Utilities","Power Generation","https://old.nasdaq.com/symbol/duk^a",
"DUKB","Duke Energy Corporation","26.97","n/a","2018","Public Utilities","Power Generation","https://old.nasdaq.com/symbol/dukb",
"DUKH","Duke Energy Corporation","25.64","n/a","n/a","Public Utilities","Power Generation","https://old.nasdaq.com/symbol/dukh",
"DRE","Duke Realty Corporation","36.91","$13.6B","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/dre",
"DD","DuPont de Nemours, Inc.","53.13","$38.99B","2017","Basic Industries","Major Chemicals","https://old.nasdaq.com/symbol/dd",
"DXC","DXC Technology Company","16.22","$4.12B","n/a","Technology","EDP Services","https://old.nasdaq.com/symbol/dxc",
"DY","Dycom Industries, Inc.","40.83","$1.29B","n/a","Basic Industries","Water Supply","https://old.nasdaq.com/symbol/dy",
"DLNG","Dynagas LNG Partners LP","3.11","$110.37M","n/a","Consumer Services","Marine Transportation","https://old.nasdaq.com/symbol/dlng",
"DLNG^A","Dynagas LNG Partners LP","21.65","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dlng^a",
"DLNG^B","Dynagas LNG Partners LP","19.14","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dlng^b",
"DT","Dynatrace, Inc.","39.96","$11.22B","2019","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/dt",
"DX","Dynex Capital, Inc.","14.54","$334.16M","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/dx",
"DX^B","Dynex Capital, Inc.","23.9","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dx^b",
"DX^C","Dynex Capital, Inc.","23.2","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dx^c",
"CTA^A","E.I. du Pont de Nemours and Company","80.0166","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/cta^a",
"CTA^B","E.I. du Pont de Nemours and Company","101.45","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/cta^b",
"ELF","e.l.f. Beauty, Inc.","17.39","$869.66M","2016","Consumer Non-Durables","Package Goods/Cosmetics","https://old.nasdaq.com/symbol/elf",
"EGIF","Eagle Growth and Income Opportunities Fund","13.56","$96.61M","2015","n/a","n/a","https://old.nasdaq.com/symbol/egif",
"EXP","Eagle Materials Inc","75.44","$3.14B","n/a","Capital Goods","Building Materials","https://old.nasdaq.com/symbol/exp",
"ECC           ","Eagle Point Credit Company Inc.","7.11","$212.27M","2014","n/a","n/a","https://old.nasdaq.com/symbol/ecc",
"ECCB","Eagle Point Credit Company Inc.","24.25","n/a","2016","n/a","n/a","https://old.nasdaq.com/symbol/eccb",
"ECCX","Eagle Point Credit Company Inc.","23.1","n/a","2018","n/a","n/a","https://old.nasdaq.com/symbol/eccx",
"ECCY","Eagle Point Credit Company Inc.","23.46","n/a","2017","n/a","n/a","https://old.nasdaq.com/symbol/eccy",
"EIC","Eagle Point Income Company Inc.","14.16","n/a","2019","n/a","n/a","https://old.nasdaq.com/symbol/eic",
"ESTE","Earthstone Energy, Inc.","3.13","$203.18M","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/este",
"DEA","Easterly Government Properties, Inc.","24.39","$1.83B","2015","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/dea",
"EGP","EastGroup Properties, Inc.","122.97","$4.8B","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/egp",
"EMN","Eastman Chemical Company","71.56","$9.72B","n/a","Basic Industries","Major Chemicals","https://old.nasdaq.com/symbol/emn",
"KODK","Eastman Kodak Company","2.44","$106.71M","n/a","Miscellaneous","Industrial Machinery/Components","https://old.nasdaq.com/symbol/kodk",
"ETN","Eaton Corporation, PLC","88.94","$35.58B","n/a","Technology","Industrial Machinery/Components","https://old.nasdaq.com/symbol/etn",
"ETV","Eaton Vance Corporation","14.34","$1.3B","2005","n/a","n/a","https://old.nasdaq.com/symbol/etv",
"ETW","Eaton Vance Corporation","8.59","$923.31M","2005","n/a","n/a","https://old.nasdaq.com/symbol/etw",
"EV","Eaton Vance Corporation","40.61","$4.65B","n/a","Finance","Investment Managers","https://old.nasdaq.com/symbol/ev",
"EOI","Eaton Vance Enhance Equity Income Fund","14.45","$568.23M","2004","n/a","n/a","https://old.nasdaq.com/symbol/eoi",
"EOS","Eaton Vance Enhanced Equity Income Fund II","17.61","$870.39M","2005","n/a","n/a","https://old.nasdaq.com/symbol/eos",
"EFT","Eaton Vance Floating Rate Income Trust","11.59","$462.02M","2004","n/a","n/a","https://old.nasdaq.com/symbol/eft",
"EFL","Eaton Vance Floating-Rate 2022 Target Term Trust","8.28","$195.54M","2017","n/a","n/a","https://old.nasdaq.com/symbol/efl",
"EFF","Eaton vance Floating-Rate Income Plus Fund","14.33","$109M","2013","n/a","n/a","https://old.nasdaq.com/symbol/eff",
"EHT","Eaton Vance High Income 2021 Target Term Trust","9.33","$200.26M","2016","n/a","n/a","https://old.nasdaq.com/symbol/eht",
"ETX           ","Eaton Vance Municipal Income 2028 Term Trust","20.54","$222.69M","2013","n/a","n/a","https://old.nasdaq.com/symbol/etx",
"EOT","Eaton Vance Municipal Income Trust","19.37","$296.62M","2009","n/a","n/a","https://old.nasdaq.com/symbol/eot",
"EVN","Eaton Vance Municipal Income Trust","12.37","$490.68M","1999","n/a","n/a","https://old.nasdaq.com/symbol/evn",
"ETJ","Eaton Vance Risk-Managed Diversified Equity Income Fund","9.62","$613.77M","2007","n/a","n/a","https://old.nasdaq.com/symbol/etj",
"EFR","Eaton Vance Senior Floating-Rate Fund","11.63","$428.55M","2003","n/a","n/a","https://old.nasdaq.com/symbol/efr",
"EVF","Eaton Vance Senior Income Trust","5.41","$204.86M","1998","n/a","n/a","https://old.nasdaq.com/symbol/evf",
"EVG","Eaton Vance Short Diversified Income Fund","11.605","$207.5M","2005","n/a","n/a","https://old.nasdaq.com/symbol/evg",
"EVT","Eaton Vance Tax Advantaged Dividend Income Fund","20.41","$1.5B","2003","n/a","n/a","https://old.nasdaq.com/symbol/evt",
"ETO","Eaton Vance Tax-Advantage Global Dividend Opp","21.57","$338.08M","2004","n/a","n/a","https://old.nasdaq.com/symbol/eto",
"ETG","Eaton Vance Tax-Advantaged Global Dividend Income Fund","14.55","$1.11B","2004","n/a","n/a","https://old.nasdaq.com/symbol/etg",
"ETB","Eaton Vance Tax-Managed Buy-Write Income Fund","14.33","$380.91M","2005","n/a","n/a","https://old.nasdaq.com/symbol/etb",
